Benaming voor Inventaris Bladel (SSW),Uri GWSW,Fysiek object type
Blinde put,https://data.gwsw.nl/1.6/Basis/BlindePut,Put
VacuÅmopslagtank,https://data.gwsw.nl/1.6/Basis/Vacuumopslagtank,Put
Loze put,https://data.gwsw.nl/1.6/Basis/LozePut,Put
Doorlaat,https://data.gwsw.nl/1.6/Basis/Doorlaat,Constructieonderdeel
Bijzondere putconstructie,https://data.gwsw.nl/1.6/Basis/BijzonderePutconstructie,Put
Erfafscheidingsput,https://data.gwsw.nl/1.6/Basis/Erfscheidingsput,Put
Infiltratieput,https://data.gwsw.nl/1.6/Basis/Infiltatieput,Put
Inlaat,https://data.gwsw.nl/1.6/Basis/Inlaat,Constructieonderdeel
Reinigende put,https://data.gwsw.nl/1.6/Basis/ReinigendePut,Put
Interne overstortput,https://data.gwsw.nl/1.6/Basis/InterneOverstorput,Put
Externe overstortput,https://data.gwsw.nl/1.6/Basis/ExterneOverstortput,Put
Inspectieput,https://data.gwsw.nl/1.6/Basis/Inspectieput,Put
Hondenhokput,https://data.gwsw.nl/1.6/Basis/Hondehokput,Put
Kruisingsput,https://data.gwsw.nl/1.6/Basis/Kruisingsput,Put
Lozingsput,https://data.gwsw.nl/1.6/Basis/Lozingsput,Put
Pompunit,https://data.gwsw.nl/1.6/Basis/Pompunit,Put
Mechanische afsluiter,https://data.gwsw.nl/1.6/Basis/MechanischeAfsluiter,Constructieonderdeel
Pompput,https://data.gwsw.nl/1.6/Basis/Pompput,Put
Stuwput,https://data.gwsw.nl/1.6/Basis/Stuwput,Put
Wervelput,https://data.gwsw.nl/1.6/Basis/Wervelput,Put
Zinkerput,https://data.gwsw.nl/1.6/Basis/Zinkerput,Put
Drainageput,https://data.gwsw.nl/1.6/Basis/Drainageput,Put
Infiltratiereservoir,https://data.gwsw.nl/1.6/Basis/Infiltratiereservoir,Bouwwerk
Bergbezinkbassin,https://data.gwsw.nl/1.6/Basis/Bergbezinkbassin,Bouwwerk
Rioolgemaal,https://data.gwsw.nl/1.6/Basis/Rioolgemaal,Bouwwerk
Boostergemaal,https://data.gwsw.nl/1.6/Basis/Boostergemaal,Bouwwerk
Vacuumpompstation,https://data.gwsw.nl/1.6/Basis/Vacuumpompstation,Bouwwerk
Vijzelgemaal,https://data.gwsw.nl/1.6/Basis/Vijzelgemaal,Bouwwerk
Spoelgemaal,https://data.gwsw.nl/1.6/Basis/Spoelgemaal,Bouwwerk
Riooleindgemaal,https://data.gwsw.nl/1.6/Basis/Riooleindgemaal,Bouwwerk
Nooduitlaat,https://data.gwsw.nl/1.6/Basis/Nooduitlaat,Bouwwerk
Uitstroombak,https://data.gwsw.nl/1.6/Basis/Uitstroombak,Bouwwerk
Inlaat oppervlaktewater,https://data.gwsw.nl/1.6/Basis/InlaatOppervlaktewater,Bouwwerk
Stuwmuur,https://data.gwsw.nl/1.6/Basis/Stuwmuur,Constructieonderdeel
Overstortdrempel,https://data.gwsw.nl/1.6/Basis/Overstortdrempel,Constructieonderdeel
Uitlaatconstructie,https://data.gwsw.nl/1.6/Basis/Uitlaatconstructie,Bouwwerk
